Category	Vendor Number	Item Number	Item Description	Pack	Bottle Volume (ml)	State Bottle Cost
1052010	65	47786	Courvoisier Vs Cognac	12	750	$13.43 
1062050	389	42666	Mt. Gay Eclipse Rum	12	750	$9.24 
1051120	434	55504	Paramount Cherry Brandy	24	375	$3.34 
1031080	55	35947	Fleischmann's Royal Vodka	12	1000	$3.94 
1082900	259	65195	Hpnotiq	6	750	$11.91 
1012300	370	15656	Jameson 12YR HA	12	750	$21.40 
1701100	192	3135	Jagermeister w/2 Shot Glasses	12	750	$12.04 
1081030	370	67528	Kahlua Coffee Liqueur	6	1750	$24.50 
1012210	370	5036	Glenlivet 12 Yr Malt Scotch	12	750	$21.17 
1012210	322	4959	Glen Moray	6	750	$17.50 
1032200	395	33773	Three Olives Tartz	12	750	$9.96 
1012200	305	4797	Cutty Sark Scotch	12	1000	$15.17 
1031200	380	40629	UV Whipped Mini	6	500	$4.88 
1011200	85	17826	Early Times 36 Mo Ky Str Bourbon	12	750	$4.76 
1701100	259	1814	Blackheart w/Tumbler	6	750	$7.94 
1032200	115	33567	Svedka Peach	12	750	$8.25 
1701100	65	788	Red Stag w/4-50mls	6	950	$11.03 
1062300	35	43263	Bacardi Black Razz	12	1000	$10.24 
1011300	85	86672	Jack Daniel's Tennessee Honey	12	1000	$17.90 
1031200	65	40678	Pucker Vodka Lemonade Lust	12	750	$9.99 
1032200	65	35538	Pinnacle County Fair Cotton	12	750	$6.88 
1031080	55	35776	Barton Vodka Mini	10	600	$3.92 
1052010	420	48099	Hennessy VS	24	200	$5.25 
1032200	267	35798	Sobieski Espresso	12	750	$5.70 
1062050	389	42686	Mt. Gay Extra Old	6	750	$19.99 
1081300	380	904884	Ice Hole Exotic Schnapps	12	1000	$5.98 
1071100	370	62382	Malibu Rum Punch Cocktail In A Bag	6	1750	$8.50 
1052010	389	49086	Remy Martin 1738 Accord Royal	6	750	$26.99 
1022100	260	89164	Don Julio 1942	6	750	$61.16 
1012210	240	4367	Balvenie Caribbean Cask 14yr	6	750	$37.42 
1012100	421	13542	Legacy Canadian Whisky	6	750	$12.00 
1062300	65	44419	Cruzan Black Cherry Rum	12	750	$6.33 
1032080	35	2677	Grey Goose Multi Pack	12	200	$6.67 
1082900	461	67192	X Rated Fusion Liqueur	6	750	$14.66 
1081200	260	74090	Godiva White Chocolate Liqueur	12	750	$16.42 
1032080	420	934154	Belvedere Vodka	12	375	$8.49 
1032200	370	35354	Absolut Mango Vodka	12	750	$8.99 
1031200	259	41840	Burnett's Limeade Vodka	12	750	$4.55 
1012200	55	8825	Lauder's Scotch Traveler	12	750	$5.10 
1701100	65	789	Canadian Club w/Glass	6	750	$7.88 
1082900	461	67194	X Rated Fusion Liqueur	6	1000	$18.67 
1012200	35	4876	Dewars 12yr	12	750	$19.50 
1012210	305	5246	Highland Park 12yr Single Malt Scotch	6	750	$27.57 
1012100	65	10846	Canadian Club Small Batch Classic	12	750	$12.59 
1071100	35	56828	Bacardi Classic Cocktails Mojito	6	1750	$8.50 
1032200	370	34398	Fris Citrus	12	750	$4.99 
1011100	154	27629	Prairie Fire	12	750	$9.17 
1011400	85	26906	Jack Daniels Single Barrel Why.	6	750	$24.38 
1032200	65	34642	Pinnacle Cherry	12	750	$6.88 
1071100	260	58106	Club Cocktails Brass Monkey	12	750	$2.60 
1031200	380	42009	UV Cake Vodka	6	1750	$10.48 
1011099	65	725	Pinnacle Candy Cane Trial Pack	1	6000	$52.50 
1081210	350	80396	Paramount Creme De Almond	12	750	$4.58 
1062200	35	43038	Bacardi Gold Rum	6	1750	$13.51 
1081700	384	76036	Midnight Moon Apple Pie	6	750	$9.50 
1022100	330	89496	Margaritaville Gold Tequila	12	750	$7.51 
1022100	260	89200	Don Julio 70th Anniversary	6	750	$34.81 
1012200	391	904665	Dt Lonach Glendarroch 1966 42yr	1	750	$102.00 
1051100	434	54056	Arrow Apricot Flav Brandy	12	750	$5.25 
1051110	55	55066	Mr. Boston Blackberry Brandy	12	750	$4.12 
1081700	346	86728	Ole Smoky Cherry Moonshine	12	750	$8.50 
1032200	370	33945	Absolut Hibiskus	12	750	$10.25 
1011200	65	19110	Jim Beam Devil's Cut Mini	12	500	$3.60 
1011200	55	21595	Ten High Traveler	12	750	$4.00 
1032200	35	34436	Grey Goose Vodka L'orange	6	750	$17.97 
1081900	434	85606	Paramount Blue Curacao	12	750	$3.75 
1012210	420	4111	Ardbeg Uigeadail	6	750	$39.48 
1081330	434	82127	Arrow Peach Schnapps	12	1000	$4.61 
1031200	380	41698	Uv Ivory (vanilla) Vodka	12	750	$6.22 
1012200	497	5809	Pigs Nose	6	750	$15.17 
1081700	346	86751	Ole Smoky Hunch Punch Lightnin'	6	750	$16.50 
1011100	492	27625	Whitetail Caramel Flavored Whiskey	6	750	$8.92 
1032200	395	35891	Three Olives Cake Flavored Vodka	12	750	$11.16 
1011200	65	20248	Old Crow	6	1750	$9.97 
1041100	297	29993	Five O'clock Gin	48	200	$1.21 
1022100	395	87408	Jose Cuervo Especial Silver	12	750	$10.11 
1042100	35	28206	Bombay Dry Gin	12	750	$10.26 
1062200	451	43280	Caliche	6	750	$12.50 
1012210	305	5516	Macallan 18yr Single Malt Scotch	12	750	$115.29 
1062050	305	42204	Blue Chair Bay Banana	12	750	$9.42 
1062300	35	43050	Bacardi Dragon Berry	12	1000	$9.50 
1032080	434	34546	Pearl Vodka	12	750	$7.85 
1701100	85	952	Jack Daniel's Black w/2 Glasses	6	750	$14.04 
1081030	370	67528	Kahlua Coffee Liqueur	6	1750	$28.84 
1031200	260	40957	Smirnoff Strawberry Vodka	12	1000	$8.95 
1032200	370	33789	Absolut Cilantro	12	750	$8.99 
1701100	451	632	Death's Door Gin & Tonic	6	750	$14.83 
1032200	65	33783	Pinnacle Rainbow Sherbet	12	750	$7.88 
1031200	380	40407	UV Salty Watermelon Mini	6	500	$29.60 
1041150	370	33282	Seagram's Pineapple Twisted	12	750	$5.99 
1032200	370	34061	Absolut Ruby Red	12	750	$8.99 
1031200	421	41146	Sweet Carolina Sweet Tea Flavored Vodka	12	750	$7.94 
1081200	461	68126	Carolan's Irish Cream Liqueur	12	750	$8.20 
1022100	259	89946	Two Fingers Gold Tequila	12	750	$6.83 
1041100	380	31718	Phillips Gin	6	1750	$8.00 
1081900	322	75215	Kinky Gold Mini	6	500	$7.47 
1032200	115	34812	Svedka Raspberry Vodka	12	750	$8.25 
1062300	305	42177	Blue Chair Bay Banana Rum Mini	12	500	$5.05 
1071100	395	59161	1800 Peach	6	1750	$9.50 
1031200	461	940203	SKYY Infusions Vanilla Bean	12	750	$10.01 
1011300	85	86668	Jack Daniel's Tennessee Honey Mini	12	500	$8.63 
1022100	370	89029	Avion Anejo	6	750	$28.75 
1031200	260	77699	Smirnoff Orange	12	1000	$9.25 
1031200	259	40126	Burnett's Mango Pineapple	12	750	$4.84 
1041100	434	29728	Calvert Gin	6	1750	$6.82 
1031200	259	41927	Burnett's Fruit Punch	12	750	$4.55 
1011500	434	27098	Rebel Yell Small Batch Rye	6	750	$14.85 
1011100	260	27751	Seagrams Seven Crown Orchard Apple	12	750	$7.00 
1081400	434	86310	La Prima Triple Sec	12	1000	$2.66 
1031200	205	40191	New Amsterdam Pineapple	24	200	$2.24 
1011200	65	19477	Maker's Mark	12	1000	$20.99 
1012210	305	5516	Macallan 18yr Single Malt Scotch	12	750	$125.31 
1022100	434	89386	Juarez Tequila Gold	12	750	$6.25 
1062200	65	44486	Cruzan Dark Rum	12	750	$6.32 
1062300	35	43051	Bacardi Dragon Berry	12	750	$7.83 
1032200	65	35780	Pinnacle Cake Vodka	12	750	$7.88 
1082900	260	64816	Romana Black Sambuca	12	750	$12.50 
1032080	65	34578	Pinnacle Vodka	6	1750	$11.07 
1062300	65	44520	Cruzan Vanilla Rum	12	750	$6.83 
1081700	469	67067	Ty Ku Super Premium Soju	6	750	$16.33 
1071100	55	57129	Chi-Chi's Mexican Mudslide	6	1750	$6.49 
1081355	434	84496	Paramount Strawberry Schnapps	12	750	$4.09 
1081900	125	74772	Howdys Apple Pie	6	750	$8.89 
1012300	395	15526	Bushmills Black Bush Irish Whiskey	12	750	$20.90 
1082900	259	65229	Hpnotiq Harmonie	6	750	$11.68 
1031200	205	40071	New Amsterdam Mango	12	750	$6.90 
1062310	35	43205	Bacardi Oakheart	12	750	$5.74 
1071100	434	62097	Paramount Long Island Iced Tea	12	1000	$4.31 
1022100	434	89178	El Mayor Anejo Tequila	6	750	$17.55 
1012300	370	15626	Jameson	12	750	$13.46 
1011200	260	921230	Rhetoric HA	6	750	$44.95 
1022100	65	89786	Sauza Gold	12	750	$9.45 
1081390	260	69945	Rumple Minze Peppermint Schnapps Liqueur	12	375	$6.53 
1701100	85	859	Jack Daniel's SB Ducks Unlimited w/Btl Stopper	6	750	$27.09 
1031080	380	37339	UV Vodka	6	1750	$10.48 
1011200	85	22214	Woodford Reserve	12	375	$9.94 
1012200	370	4718	Chivas Regal 12 Yr	6	1750	$36.00 
1032200	395	34995	Three Olives Grape Vodka	12	750	$10.16 
1012210	260	4846	Dalwhinnie 15 Yr Single Malt Scotch	12	750	$31.50 
1081312	434	81966	Arrow Mcdale's Butterscotch Schnapps	12	750	$4.08 
1031200	259	41840	Burnett's Limeade Vodka	12	750	$4.16 
1701100	305	4114	Rumchata Iced Coffee Pack	6	750	$12.50 
1071100	55	57161	Chi-Chi's Churro	6	1750	$6.50 
1062310	370	43510	Malibu Island Spiced	12	750	$7.99 
1011200	434	21210	Rebel Yell Small Batch Reserve	6	750	$13.33 
1011200	65	27408	Jim Beam Honey Mini	12	500	$4.74 
1012300	370	15856	Redbreast 12YR	6	750	$29.50 
1081600	85	86805	Southern Comfort Bold Black Cherry Mini	12	500	$4.70 
1012210	370	5036	Glenlivet 12 Yr Malt Scotch	12	750	$20.42 
1062300	370	42687	Malibu Black	12	750	$7.50 
1071100	395	58888	Jose Cuervo Authentic Lime Margarita 4pk Cans	6	800	$3.88 
1022100	410	89646	Patron Anejo	12	750	$30.00 
1081900	322	75208	Kinky Liqueur Mini	6	500	$4.96 
1011100	297	23626	Five Star Pet	12	750	$3.35 
1032200	370	35354	Absolut Mango Vodka	12	750	$11.00 
1081335	434	82146	Arrow Raspberry Schnapps	12	750	$4.08 
1062200	35	42370	Bacardi 8 Rum	12	750	$11.50 
1031200	259	41927	Burnett's Fruit Punch	12	750	$4.16 
1011500	65	27066	Old Overholt Rye	12	750	$11.54 
1031200	260	77843	Smirnoff Strawberry	12	1000	$9.25 
1042100	461	28370	Bulldog Gin	6	750	$12.49 
1032200	65	35505	Pinnacle Tropical Punch	12	750	$7.88 
1081390	260	65065	Goldschlager Cinnamon Schnapps	12	375	$6.50 
1062300	370	65768	Malibu Rum Sparkler	12	750	$8.49 
1031200	260	40256	Smirnoff Cinna-Sugar Twist	12	750	$8.25 
1071100	65	63358	Skinnygirl Mojito	12	750	$7.88 
1081312	380	83363	Ice Hole Butterscotch Schnapps	12	750	$4.90 
1012200	35	4876	Dewars 12yr	12	750	$17.66 
1031200	260	41747	Smirnoff Citrus Vodka	12	1000	$8.95 
1012300	370	903113	Redbreast Irish Whiskey	6	750	$24.44 
1041100	434	30527	Hawkeye Gin	12	1000	$4.00 
1071100	65	63354	Skinnygirl White Cranberry Cosmo	12	750	$6.29 
1012210	370	5086	Glenlivet 16yr Nadurra	6	750	$32.50 
1701100	35	2928	Bacardi Multi-Flavor Mini 6 Pack	20	301	$3.33 
1081020	434	85316	Paramount Anisette	12	750	$4.57 
1022100	65	88540	Hornitos Lime Shot	12	750	$13.64 
1031200	259	41316	Burnetts Raspberry Vodka	12	750	$4.17 
1032200	395	35549	Three Olives Rangtang	12	750	$10.16 
1062300	35	43209	Bacardi Black Razz	12	750	$7.58 
1071100	421	59231	Ice Box Mudslide	6	1750	$7.01 
1051100	434	54446	Paramount Apricot Flavored Brandy	12	750	$5.33 
1012100	461	10890	Forty Creek	12	750	$12.02 
1701100	410	3526	Patron Rainbow Pack	20	150	$10.05 
1031080	301	38174	Titos Handmade Vodka	12	375	$5.42 
1081380	260	67296	Yukon Jack Perma Frost Schnapps	12	750	$9.50 
1011200	65	19478	Maker's Mark	6	1750	$31.49 
1032200	395	33538	Three Olives Grape Mini	12	500	$5.42 
1011300	85	86669	Jack Daniel's Tennessee Honey	24	375	$7.00 
1012300	370	15660	Jameson Gold	6	750	$42.49 
1012210	240	5006	Glenfiddich 12yr Special Reserve	12	750	$19.75 
1052010	420	48108	Hennessy Vs Cognac	6	1750	$40.00 
1042100	65	28718	Pinnacle Gin	6	1750	$11.54 
1701100	420	2666	Hennessy VS Flask Sleeve	24	200	$5.49 
1062300	260	43349	Captain Morgan Pineapple Mini	12	500	$4.97 
1031080	461	37984	Skyy Vodka	12	375	$4.59 
1081312	434	84486	Paramount Butterscotch Schnapps	12	750	$0.00 
1032080	65	34579	Pinnacle Vodka	12	750	$6.01 
1081390	421	69646	Dr. Mcgillicuddy's Lemon Drop	12	750	$8.66 
1031200	259	41927	Burnett's Fruit Punch	12	750	$4.18 
1081200	260	68038	Bailey's Original Irish Cream	6	1750	$25.50 
1081340	65	82826	Dekuyper Ragin' Root Beer Schnapps	12	750	$5.30 
1022100	35	89099	Cazadores Anejo	6	750	$18.98 
1032200	85	34138	Chambord Flavored Vodka	6	750	$12.50 
1012100	434	13036	Canadian Reserve Whisky	12	750	$4.25 
1032080	312	35279	Hammer Sickle	6	750	$13.34 
1032080	434	34548	Pearl Vodka	6	1750	$14.80 
1032080	420	34162	Belvedere Vodka	6	1000	$20.62 
1071100	260	58819	Parrot Bay Mudslide	6	1750	$8.24 
1032200	115	35453	Svedka Cherry Vodka	12	750	$7.97 
1032200	65	35773	Pinnacle Orange Whipped	12	750	$6.87 
1071100	55	57176	Chi-Chi's Skinny Long Island Iced Tea	6	1750	$6.50 
1081365	65	82856	Dekuyper Island Punch Pucker	12	750	$6.30 
1032080	239	35109	Russian Standard Original Vodka	12	750	$9.39 
1031100	260	39866	Smirnoff Vodka 100 Prf	12	750	$8.65 
1062200	35	43120	Bacardi Superior PET	6	1750	$14.67 
1071100	260	58826	Parrot Bay Strawberry Margarita	6	1750	$8.50 
1701100	380	42146	UV Salty Caramel Apple	12	750	$6.50 
1071100	370	62381	Malibu Melon Margarita Cocktail	6	1750	$7.90 
1042100	260	28865	Tanqueray Gin	24	375	$7.12 
1012200	260	5327	Johnnie Walker Black	12	1000	$27.00 
1012200	55	8208	House Of Stuart	6	1750	$9.62 
1081230	434	78866	Paramount Creme De Cacao/white	12	750	$4.75 
1032200	277	34870	Stoli Razberi (raspberry)	12	750	$12.80 
1012210	370	4084	Aberlour 12 Year Single Malt Scotch	6	750	$21.32 
1012300	370	15644	Jameson	24	375	$6.35 
1051100	434	54057	Arrow Apricot Flav Brandy	12	1000	$6.11 
1012100	421	12862	Rich & Rare Caramel	12	750	$5.00 
1032200	65	36015	Pinnacle Peach	12	750	$6.88 
1081200	421	73140	Chila Orchata	12	750	$10.40 
1081380	55	84143	99 Cinnamon Mini	10	600	$5.94 
1081900	259	72722	Christian Bros Honey	12	750	$6.92 
1031200	260	41079	Jeremiah Weed Sweet Tea Mini	12	500	$4.28 
1041100	259	29566	Burnett's Gin London Dry	12	750	$5.37 
1052010	420	48122	Hennessy XO Cognac	12	750	$99.99 
1052010	65	47786	Courvoisier Vs Cognac	12	750	$15.22 
1032200	115	34823	Svedka Clementine Vodka	12	750	$6.97 
1701100	260	1400	Crown Royal w/2 Glasses	6	750	$14.99 
1081200	305	80489	Tippy Cow Vanilla Soft Serve Mini	12	500	$7.42 
1031200	260	41592	Smirnoff Lime Vodka	12	750	$7.21 
1042100	65	28718	Pinnacle Gin	6	1750	$12.08 
1032200	395	35039	Three Olives Pomegranate Vodka	12	750	$10.16 
1031200	260	41746	Smirnoff Citrus Vodka	12	750	$7.21 
1051110	434	55084	Paramount Blackberry Brandy	24	375	$3.34 
1071100	434	62838	Purple Passion	6	1750	$5.50 
1031080	55	35947	Fleischmann's Royal Vodka	12	1000	$3.99 
1012200	370	4725	Chivas Regal 12yr	12	375	$8.67 
1082900	240	64876	Drambuie Liqueur	12	750	$19.08 
1022100	65	89788	Sauza Gold	6	1750	$18.89 
1062200	35	43035	Bacardi Gold Rum Pet	12	750	$7.25 
1012200	35	4876	Dewars 12yr	12	750	$17.00 
1082900	420	65121	Grand Marnier Cordon Rouge Mini	10	603	$22.68 
1062300	229	77190	Havana Judge Cinnamon	12	750	$5.08 
1081230	434	78616	Arrow Creme de Cacao White	12	750	$4.39 
1022100	160	87945	Kah Blanco Mini	48	150	$4.27 
1012300	240	903040	The Knot Irish Whiskey	6	750	$13.21 
1032200	370	34017	Absolut Miami	12	750	$10.89 
1012300	370	15814	Paddy Devil's Apple	12	750	$12.49 
1031200	380	41701	Uv Orange Vodka	12	750	$6.22 
1062300	35	43210	Bacardi Wolf Berry	12	750	$7.33 
1081200	259	80145	Fulton''s Harvest Pumpkin Liqueur	12	750	$5.42 
1031110	65	40570	Skinnygirl Bare Naked	12	750	$10.49 
1081390	260	69947	Rumple Minze Peppermint Schnapps Liqueur	12	1000	$15.00 
1701100	305	3963	Rumchata w/Thermal Cup	6	750	$12.50 
1042100	370	28086	Beefeater Gin	12	750	$10.24 
1032080	370	34041	Absolut Vodka 100 Premium	12	750	$14.38 
1012100	370	11470	Wiser's Spiced Vanilla Mini	12	500	$3.30 
1031080	259	35418	Burnett's Vodka 80 Prf	6	1750	$9.48 
1031080	260	37998	Smirnoff Vodka 80 Prf	6	1750	$13.75 
1052010	35	47865	D'usse VSOP	6	750	$32.00 
1082900	885	901157	Wild Rose Liqueur	6	200	$7.66 
1042100	370	28088	Beefeater Gin	6	1750	$22.49 
1082900	295	903892	Linie Aquavit	12	750	$15.04 
1052010	389	49186	Remy Martin Vsop Cognac	12	750	$20.08 
1082900	885	901195	Yahara Bay Cocoa Liqueur	6	100	$6.22 
1081380	65	82757	Dekuyper Cranberry Crush	12	1000	$7.62 
1032200	260	64742	Ciroc Coconut Vodka	6	750	$18.50 
1031200	300	40648	360 Buttered Popcorn	12	750	$9.33 
1081700	259	73721	Evan Williams Fire	12	750	$6.94 
1081030	259	67426	Copa De Oro Mexican Coffee	12	750	$5.87 
1042100	300	28350	Broker's London Dry Gin	12	750	$8.25 
1011100	86	27318	Two Jay's Iowa Corn Whiskey	12	750	$15.78 
1012210	260	5696	Oban Single Malt Scotch	12	750	$37.50 
1041100	259	29568	Burnett's Gin London Dry	6	1750	$9.29 
1032080	370	34368	Fris Danish Vodka	6	1750	$10.25 
1071100	395	59154	1800 Ultimate Margarita	6	1750	$8.50 
1032200	65	35907	Pinnacle Cookie Dough	12	750	$7.87 
1011100	260	27753	Seagrams Seven Crown American Spiced Mini	12	500	$6.17 
1071100	395	58860	Jose Cuervo Mango Margarita	6	1750	$7.70 
1701100	380	42146	UV Salty Caramel Apple	12	750	$6.25 
1031200	380	40403	UV Peach	12	750	$6.53 
1031200	461	40442	Skyy Infusions Moscato Grape	12	750	$10.01 
1071100	370	62384	Malibu Tropical Mojito Cocktail In A Bag	6	1750	$7.90 
1012210	260	904988	Cardhu HA	6	750	$21.25 
1031200	259	41316	Burnetts Raspberry Vodka	12	750	$4.83 
1041150	370	33291	Seagrams Red Berry Twisted Gin	12	750	$6.49 
1022100	85	3656	Herradura Anejo	6	750	$28.05 
1022100	434	87936	Juarez Tequila Silver	12	750	$6.42 
1022100	395	64933	1800 Coconut	12	750	$15.46 
1031200	65	40574	Skinnygirl Cucumber	12	750	$10.49 
1062300	35	43209	Bacardi Black Razz	12	750	$8.26 
1031200	259	40052	Deep Eddy Lemon Mini	6	600	$4.84 
1032080	277	34748	Stolichnaya Russian Vodka 80 Prf	6	1750	$23.46 
1081700	346	86728	Ole Smoky Cherry Moonshine	12	750	$11.00 
1062200	380	45419	Phillips White Rum	12	1000	$4.44 
1032200	65	34630	Pinnacle Strawberry-Kiwi Vodka	12	750	$6.88 
1081200	300	65199	Tequila Rose Liqueur	12	1000	$11.50 
1082900	35	66835	St. Germain Mini	4	600	$27.25 
1032080	277	34748	Stolichnaya Russian Vodka 80 Prf	6	1750	$21.33 
1031200	300	41467	360 Sorrento Lemon Vodka	12	750	$6.92 
1081600	85	86883	Southern Comfort	48	200	$2.64 
1082900	370	903293	Soho Lychee	6	750	$9.16 
1071100	55	57168	Chi-Chi's Chocolate Malt	6	1750	$6.50 
1031200	300	41943	360 Georgia Peach Vodka	12	750	$7.00 
1032080	395	34935	Three Olives Vodka	12	750	$10.67 
1081700	421	86686	Firefly Caramel Moonshine	12	750	$9.88 
1062300	35	43138	Bacardi Limon	6	1750	$15.00 
1062310	240	45887	Sailor Jerry Spiced Navy Rum	12	1000	$11.20 
1011200	434	18198	Ezra Brooks Ky Sour Mash Bourbon	6	1750	$13.34 
1062300	260	43308	Captain Morgan Grapefruit Mini	12	500	$4.97 
1071100	330	62405	Margaritaville Last Mango Margarita	6	1750	$6.02 
1071100	370	62089	Kahlua RTD White Russian	6	1750	$7.99 
1041100	469	29119	Aviation American Gin	6	750	$14.17 
1011100	154	27255	Country Gal	12	750	$9.17 
1032200	395	35637	Three Olives Purple Vodka	12	750	$11.17 
1062050	305	42244	Blue Chair Bay Coconut Spiced	12	750	$9.42 
1032200	65	35505	Pinnacle Tropical Punch	12	750	$6.88 
1062100	305	902069	Brugal Anejo Rum	12	750	$9.99 
1071100	260	58821	Parrot Bay Orange Pineapple Dream	6	1750	$8.24 
1701100	65	36061	Pinnacle Pumpkin Pie	12	750	$7.88 
1012210	370	5040	Glenlivet 18yr	6	750	$39.90 
1052010	420	48108	Hennessy Vs Cognac	6	1750	$42.49 
1011200	65	27577	Red Stag Honey Tea	12	750	$10.02 
1012100	65	10627	Canadian Club Whisky	12	1000	$9.34 
1062300	370	42718	Malibu Coconut Rum	6	1750	$14.99 
1022100	192	87280	Casamigos Blanco	6	750	$26.84 
1011500	461	27126	Russell's Reserve Rye 6YR	6	750	$21.50 
1032200	370	34026	Absolut Peppar	12	750	$10.89 
1031200	380	41966	UV Espresso Vodka	12	750	$6.50 
1031080	461	37988	Skyy Vodka	6	1750	$16.15 
1022100	421	88767	Tortilla White Tequila	12	1000	$7.15 
1012210	240	4376	Balvenie 15yr Single Barrel Scotch	12	750	$43.20 
1081900	65	902031	Dekuyper Signature Hazelnut Bliss	12	750	$6.03 
1032200	370	33788	Absolut Cilantro Mini	10	600	$3.96 
1071100	395	58893	Jose Cuervo Sparkling Paloma 4pk Cans	6	800	$3.88 
1081335	65	82836	Dekuyper Raspberry Pucker	12	750	$5.30 
1012200	35	4864	Dewars White Label Scotch	24	375	$6.66 
1031200	260	41116	Jeremiah Weed Peach Sweet Tea	12	750	$9.46 
1701100	461	1437	Forty Creek w/2 Glasses	6	750	$12.00 
1031080	205	36968	New Amsterdam Vodka	24	375	$3.40 
1081305	65	982902	Dekuyper Red Apple	12	750	$6.30 
1031200	260	77698	Smirnoff Orange	12	750	$8.25 
1081015	130	64135	Disaronno Amaretto	12	375	$6.51 
1701100	55	4055	Caravella Limoncello w/Glass	6	750	$11.25 
1071100	330	62420	Margaritaville Skinny Margarita	6	1750	$7.02 
1062300	260	43409	Captain Morgan Parrot Bay Coconut	12	1000	$9.04 
1031200	259	41927	Burnett's Fruit Punch	12	750	$3.88 
1011100	65	22786	Beam's 8 Star Bl Whiskey	12	750	$3.46 
1081390	260	69946	Rumple Minze Peppermint Schnapps Liqueur	12	750	$12.00 
1032200	370	66038	Oddka Electricity	12	750	$7.99 
1062300	35	43134	Bacardi Limon	12	375	$4.75 
1011200	65	19066	Jim Beam	12	750	$8.42 
1022100	410	89626	Patron Reposado Tequila	12	750	$27.00 
1011200	250	27536	Homestead American Whiskey	6	750	$21.50 
1032200	395	34968	Three Olives Chocolate Vodka	12	750	$9.96 
1032200	434	33893	Pearl Cherry	12	750	$7.85 
1011099	55	2992	Caravella Limoncello w/Glass	6	750	$11.25 
1031080	380	37338	UV Vodka PET	6	1750	$10.98 
1012210	370	5037	Glenlivet 12 Yr Malt Scotch	12	1000	$28.48 
1071100	260	904479	Tgif Orange Dream	6	1750	$7.94 
1081700	421	86680	Firefly Cherry Moonshine	12	750	$9.88 
1032200	370	34026	Absolut Peppar	12	750	$10.14 
1032200	65	35770	Pinnacle Cherry Whipped	12	750	$7.87 
1081380	380	83348	Ice Hole Cherry Schnapps	12	750	$5.15 
1022100	395	64933	1800 Coconut	12	750	$10.50 
1081700	208	27439	Tim Smith's Climax Moonshine	6	750	$17.50 
1022100	461	89139	Cabo Wabo Reposado	6	750	$18.76 
1062300	35	43210	Bacardi Wolf Berry	12	750	$7.75 
1062200	125	46113	Clearheart Rum	6	750	$11.30 
1012300	370	15856	Redbreast 12YR	6	750	$29.99 
1081030	370	67540	Kahlua French Vanilla Liqueur	12	750	$11.61 
1012200	305	4936	Famous Grouse Scotch	12	750	$12.74 
1011200	65	19068	Jim Beam	6	1750	$18.94 
1081200	260	68031	Bailey's Original Irish Cream Minis	4	1000	$23.93 
1062050	420	42936	10 Cane Rum	6	750	$12.49 
1031200	461	40821	Skyy Infusions Pineapple	12	750	$10.01 
1012200	370	9428	Passport Scotch	6	1750	$13.99 
1031200	461	40821	Skyy Infusions Pineapple	12	750	$8.48 
1012100	971	66790	Sinfire	12	750	$7.17 
1062310	260	43296	Captain Morgan Silver Spiced Rum	12	750	$8.00 
1052010	885	901175	Armagnac XO 25yr	1	1000	$57.14 
1042100	35	28210	Bombay Sapphire East	12	750	$13.64 
1071100	434	62097	Paramount Long Island Iced Tea	12	1000	$0.00 
1062300	370	42217	Malibu Orange Float Mini	12	600	$3.30 
1052010	389	49175	Remy Martin Vs Cognac	12	375	$8.81 
1071100	260	63798	Tgi Fridays Pina Colada	6	1750	$7.94 
1082900	375	64446	Berentzen Apple Liqueur	12	750	$10.34 
1011200	65	19478	Maker's Mark	6	1750	$32.54 
1032080	370	34368	Fris Danish Vodka	6	1750	$10.99 
1032200	370	34015	Absolut Apeach	12	1000	$15.00 
1062300	370	42699	Malibu Mango Rum	12	750	$6.90 
1012200	240	6997	Clan Macgregor Scotch	12	1000	$6.65 
1032080	260	34197	Ciroc Luxury Vodka	12	375	$8.27 
1011200	259	917914	Elijah Craig Cask Barrel Proof HA	3	750	$24.95 
1081600	969	86746	Prichard's Sweet Lucy	6	750	$13.00 
1031200	260	41746	Smirnoff Citrus Vodka	12	750	$7.96 
1701100	370	2889	Kahlua Sampler Pack	24	250	$3.49 
1082900	370	904564	Pernod Anise Liqueur	12	750	$15.99 
1011200	65	16906	Booker's 6YR	6	750	$28.93 
1011400	259	16096	Evan Williams Bottled in Bond	12	750	$8.47 
1011250	65	19235	Knob Creek Single Barrel Reserve	6	750	$26.24 
1062300	65	44476	Cruzan Coconut Rum	12	750	$5.88 
1012300	65	15737	2 Gingers Mini	1	4800	$71.04 
1011200	65	20247	Old Crow	12	1000	$5.51 
1022100	55	89568	Monte Alban Reposado	12	750	$9.87 
1041150	370	33286	Seagrams Peach Twisted Gin	12	750	$6.49 
1081250	434	79816	Paramount Creme De Menthe/white	12	750	$4.75 
1012100	370	902424	Wiser's Deluxe Canadian	12	1000	$10.58 
1011200	461	22175	Russell's Reserve 10YR	6	750	$13.24 
1032080	293	65220	Jinro Chamisul Soju	24	375	$3.38 
1011100	260	67274	Yukon Jack Wicked Hot Mini	12	500	$4.97 
1012100	421	11390	Tap 357	6	750	$14.96 
1081700	384	76049	Midnight Moon 100prf	6	750	$11.00 
1022100	413	88582	Silvercoin	6	750	$20.21 
1041100	259	29566	Burnett's Gin London Dry	12	750	$5.38 
1052010	389	49156	Remy Martin Xo Excellence	12	750	$98.10 
1081330	434	82126	Arrow Peach Schnapps	12	750	$3.97 
